date,symbol,open,high,low,close,volume
2026-08-27,20MICRONS,223.39,223.39,215.1,216.37,152626.0
2026-08-28,20MICRONS,217.34,224.87,217.0,222.0,241206.0
2026-08-31,20MICRONS,221.01,227.33,216.5,218.03,172302.0
2026-09-01,20MICRONS,216.5,219.58,211.37,213.0,137611.0
2026-09-02,20MICRONS,212.0,216.39,207.0,211.36,90223.0
2026-09-03,20MICRONS,211.4,224.0,211.4,217.82,179448.0
2026-09-04,20MICRONS,218.91,224.9,216.5,222.49,174812.0
2026-09-07,20MICRONS,224.9,231.99,220.71,224.8,373719.0
2026-09-08,20MICRONS,226.0,227.23,218.79,219.28,108144.0
2026-09-09,20MICRONS,219.0,220.99,216.75,218.06,78133.0
2026-09-10,20MICRONS,219.48,220.9,210.73,211.87,115259.0
2026-09-11,20MICRONS,211.75,211.75,204.01,207.86,163867.0
2026-08-27,21STCENMGM,42.35,42.35,41.74,42.0,4547.0
2026-08-28,21STCENMGM,41.74,41.74,41.16,41.16,3530.0
2026-08-31,21STCENMGM,40.35,41.84,40.34,40.34,2905.0
2026-09-01,21STCENMGM,40.3,40.3,39.54,39.6,4172.0
2026-09-02,21STCENMGM,40.39,40.39,38.81,38.85,5812.0
2026-09-03,21STCENMGM,39.24,39.24,38.08,38.1,6902.0
2026-09-04,21STCENMGM,38.49,38.7,37.36,38.13,2056.0
2026-09-07,21STCENMGM,38.4,38.85,37.47,38.28,8675.0
2026-09-08,21STCENMGM,38.7,39.04,38.29,38.59,4103.0
2026-09-09,21STCENMGM,38.98,39.34,38.31,38.8,1472.0
2026-09-10,21STCENMGM,39.19,39.55,38.21,38.97,2643.0
2026-09-11,21STCENMGM,38.97,38.97,38.25,38.39,528.0
2026-08-27,360ONE,1194.0,1207.0,1191.7,1204.0,317442.0
2026-08-28,360ONE,1204.0,1208.0,1193.9,1200.0,422710.0
2026-08-31,360ONE,1199.6,1199.6,1149.3,1175.0,1412706.0
2026-09-01,360ONE,1175.0,1184.3,1147.5,1165.6,2175285.0
2026-09-02,360ONE,1156.4,1181.3,1128.6,1181.3,666823.0
2026-09-03,360ONE,1168.6,1171.5,1149.9,1155.0,483291.0
2026-09-04,360ONE,1149.1,1156.1,1127.1,1137.0,603451.0
2026-09-07,360ONE,1141.8,1143.5,1127.2,1136.9,407077.0
2026-09-08,360ONE,1125.0,1128.2,1104.3,1110.0,1123388.0
2026-09-09,360ONE,1104.4,1109.2,1087.4,1087.4,869898.0
2026-09-10,360ONE,1087.0,1104.4,1076.6,1094.9,839166.0
2026-09-11,360ONE,1089.7,1098.3,1065.6,1091.0,835305.0
2026-08-27,3BBLACKBIO,1310.0,1361.9,1310.0,1350.3,16388.0
2026-08-28,3BBLACKBIO,1362.0,1463.0,1362.0,1441.2,45446.0
2026-08-31,3BBLACKBIO,1458.1,1510.0,1430.0,1447.8,33118.0
2026-09-01,3BBLACKBIO,1455.0,1546.8,1451.1,1523.5,40078.0
2026-09-02,3BBLACKBIO,1528.5,1588.9,1469.1,1478.6,50928.0
2026-09-03,3BBLACKBIO,1500.0,1550.0,1481.0,1486.2,20142.0
2026-09-04,3BBLACKBIO,1508.5,1513.9,1411.2,1460.1,19626.0
2026-09-07,3BBLACKBIO,1486.0,1530.2,1470.2,1521.3,14265.0
2026-09-08,3BBLACKBIO,1563.0,1569.5,1428.1,1455.3,26241.0
2026-09-09,3BBLACKBIO,1490.0,1499.0,1448.1,1476.1,9173.0
2026-09-10,3BBLACKBIO,1494.6,1494.6,1431.0,1443.3,13603.0
2026-09-11,3BBLACKBIO,1442.0,1448.3,1389.0,1419.9,19596.0
